AT,V,AP,RH,PE
26.25,52.09,1013.2,53.12,450.53
29.53,71.43,1011.79,57.41,438.78
13.83,42.86,1030.77,75.09,470.21
13.86,40.66,1017.15,83.82,463.49
26.3,51.43,1012.05,63.62,442.28
26.3,59.07,1007.84,78.32,441.94
13.74,39.35,1014.82,77.48,471.11
10.84,40.62,1015.53,60.9,467.6
20.3,56.53,1020.27,76.49,454.12
26.56,56.57,1013.73,63.9,442.74
29.47,65.51,1014.71,58.28,444.8
14.77,48.06,1010.92,69.81,461.52
25.38,72.24,1010.76,89.64,432.3
14.95,43.72,1010.28,93.62,459.31
27.47,66.86,1006.1,70.2,437.45
9.7,40.71,1025.63,80.34,483.19
25.02,59.44,1012.49,73.65,444.08
21.35,58.16,1017.21,67.66,452.83
5.25,40.07,1019.48,67.7,495.23
19.78,54.42,1011.74,89.34,456.84
13.07,40.83,1010.0,84.84,471.19
5.66,40.62,1015.87,84.97,485.18
29.43,66.75,1017.63,42.72,434.6
30.93,70.83,1010.61,46.13,440.59
16.96,44.9,1020.5,77.53,458.1
32.5,73.68,1014.65,55.72,427.63
28.43,69.59,1008.79,73.33,439.26
15.11,43.13,1014.99,46.91,466.74
31.86,73.88,1005.6,57.68,435.91
10.02,39.82,1012.86,89.47,482.47
22.34,52.84,1004.05,73.96,449.06
14.01,45.08,1023.28,82.49,464.79
10.34,41.46,1017.75,89.73,478.03
11.06,40.64,1021.47,96.16,479.13
29.86,59.57,1011.24,64.02,439.44
24.2,59.43,1009.69,62.3,440.66
27.97,68.31,1010.64,55.91,443.34
32.38,69.05,1000.76,45.85,429.31
20.77,43.77,1010.76,63.12,453.46
10.9,40.67,1016.66,65.09,482.4
15.16,40.73,1017.7,86.37,459.19
26.21,65.12,1016.06,44.31,444.44
14.49,42.86,1013.94,88.2,468.4
26.03,59.07,1007.3,82.52,440.6
25.06,74.33,1014.05,69.02,437.27
21.33,58.46,1016.17,79.73,445.27
11.61,39.69,1006.85,83.69,470.78
17.97,65.94,1012.92,88.22,448.88
22.55,70.79,1006.19,92.56,436.43
30.75,71.22,1006.47,48.06,437.96
28.33,78.92,1011.15,70.04,432.67
23.99,67.69,1007.9,78.57,437.1
25.69,64.45,1013.05,42.0,450.94
19.66,58.79,1017.17,84.16,447.93
7.78,39.18,1024.62,85.15,484.65
27.14,71.32,1007.8,87.99,431.96
18.0,53.16,1013.02,82.47,455.69
6.72,38.91,1016.89,90.47,485.89
9.54,41.17,1019.79,65.61,481.18
31.75,74.99,1003.25,53.33,430.82
23.55,62.96,1020.16,70.16,447.65
14.1,44.92,1023.95,89.5,467.22
18.04,44.88,1017.96,66.3,461.13
24.61,69.68,1012.06,92.47,438.51
12.15,71.14,1019.56,86.06,462.51
13.74,42.74,1029.54,70.0,465.92
32.38,67.17,1006.97,60.04,438.67
27.24,68.08,1013.23,51.96,445.25
15.36,41.66,1012.41,62.32,466.7
24.79,67.83,1009.32,61.46,438.36
18.4,44.06,1017.36,70.88,456.8
22.57,68.3,1017.43,87.69,440.81
10.59,37.5,1013.14,81.56,471.38
30.19,64.79,1017.22,42.47,438.41
24.44,59.21,1017.36,61.45,445.82
14.51,44.84,1023.23,82.33,465.09
18.21,41.85,1014.67,56.86,468.4
23.0,60.37,1005.34,83.73,437.6
25.14,63.47,1012.58,70.27,443.93
26.12,68.94,1007.12,67.08,434.11
32.31,77.95,1010.15,62.17,430.15
3.99,39.9,1009.74,96.81,490.91
19.2,59.21,1017.84,89.56,450.86
29.03,69.51,1009.8,47.04,435.09
19.11,44.85,1014.76,45.86,464.66
31.7,76.09,1007.06,72.39,441.36
28.77,58.33,1013.73,36.6,448.06
17.88,46.97,1013.73,67.78,456.77
10.94,40.81,1026.03,80.79,476.32
11.48,41.14,1027.67,90.5,464.07
14.79,44.06,1018.53,74.79,465.77
21.29,59.04,1012.49,84.23,445.37
11.82,41.17,1019.5,55.74,475.61
25.35,66.56,1008.75,66.88,436.51
22.04,58.05,1013.11,85.22,447.28
26.47,69.51,1009.51,65.02,433.89
26.15,64.27,1013.03,59.77,439.11
29.48,64.69,1006.44,64.46,435.09
31.11,74.87,1009.11,54.86,434.3
20.65,50.59,1016.22,68.57,455.24
14.13,53.82,1016.72,64.85,467.08
17.16,40.55,1000.26,72.21,461.58
27.55,65.59,1011.6,63.99,440.53
30.11,62.04,1010.69,47.96,444.42
22.59,59.43,1005.85,84.02,442.0
15.91,44.99,1010.93,62.81,459.73
23.19,48.6,1002.38,61.19,445.52
7.69,43.02,1014.51,85.23,486.46
19.25,43.43,1012.01,73.26,451.08
6.92,41.26,1011.16,96.2,483.61
33.8,64.96,1004.88,49.37,427.28
22.84,50.05,1005.59,79.49,442.85
20.31,45.87,1007.89,73.7,449.54
6.75,39.9,1008.3,87.42,484.05
7.98,43.52,1022.45,97.68,481.93
31.23,66.75,1017.48,36.55,433.9
20.79,68.28,1001.42,76.77,445.83
6.03,41.17,1019.81,84.2,488.57
12.85,40.92,1023.04,84.04,461.05
27.3,56.85,1011.66,36.09,440.01
22.54,61.27,1019.12,54.02,450.01
21.43,46.97,1013.94,61.25,457.68
12.25,48.79,1017.44,88.91,469.52
8.97,44.03,1013.16,80.39,474.61
24.99,48.92,1010.03,41.26,443.12
9.55,40.72,1023.12,68.06,481.08
17.53,42.24,1016.9,60.95,470.63
6.98,40.35,1011.92,94.72,484.19
27.94,69.84,1003.11,70.47,428.67
24.22,56.89,1013.81,70.02,440.79
23.66,77.54,1008.5,85.32,435.38
26.58,62.39,1006.36,68.98,438.66
20.73,69.94,1009.9,82.12,445.91
24.44,73.5,1011.49,87.39,437.73
10.6,41.17,1018.38,87.92,478.47
21.17,52.3,1009.36,81.51,447.5
9.15,39.61,1018.11,75.29,474.88
7.87,41.17,1020.33,77.77,486.2
5.71,40.77,1022.51,89.58,485.75
10.22,37.83,1005.94,93.53,471.79
22.19,70.02,1011.03,82.49,444.85
26.91,71.64,1004.59,83.54,438.73
26.11,70.36,1007.64,70.12,445.37
18.83,48.98,1016.33,74.23,453.28
27.59,71.97,1008.64,88.22,437.33
16.5,39.72,1003.05,65.99,459.06
20.58,39.53,1005.68,62.09,460.1
29.08,70.83,1007.98,51.95,430.91
6.91,37.49,1011.05,82.07,481.88
15.03,42.44,1014.25,94.52,464.91
25.67,74.78,1010.24,68.87,440.48
6.14,38.5,1012.4,75.35,489.26
30.2,69.59,1008.9,67.32,434.66
18.96,50.16,1010.72,100.09,451.2
29.53,70.94,1007.22,70.68,432.43
32.4,68.14,1004.44,34.53,425.91
34.63,74.33,1011.7,31.45,428.54
23.5,50.78,1008.7,57.7,445.09
28.55,69.84,1003.38,67.26,432.7
13.55,40.1,1014.57,81.48,469.57
26.14,61.02,1010.13,66.71,436.17
10.64,39.61,1018.33,66.81,471.48
29.45,75.6,1018.12,50.68,437.31
30.99,69.82,1009.41,50.84,437.46
10.74,52.75,1021.75,75.41,467.48
15.75,39.99,1007.02,77.44,464.95
18.05,56.03,1020.69,77.87,459.09
16.77,42.28,1007.53,73.19,465.52
22.8,49.16,1006.4,77.05,439.65
28.15,71.25,1000.51,81.04,431.28
27.77,51.43,1006.58,69.01,438.7
13.64,34.03,1018.32,62.2,469.61
9.89,40.64,1020.59,98.35,478.13
27.29,71.32,1006.39,81.59,435.25
8.35,40.46,1019.23,73.26,474.79
30.54,70.17,999.42,64.32,434.62
29.3,74.16,1007.72,81.92,431.32
4.71,39.42,1026.4,84.42,481.28
18.85,41.1,1001.95,61.75,462.4
29.87,69.13,1001.08,72.75,426.47
13.4,41.78,1010.2,64.57,466.68
16.36,53.82,1015.05,71.95,461.62
14.66,41.66,1012.89,62.41,466.87
22.72,63.73,1012.63,82.14,448.56
22.72,65.61,1014.64,70.53,449.04
23.96,58.33,1013.37,59.97,446.01
10.45,40.71,1015.68,81.48,469.22
11.09,41.58,1020.99,91.09,464.81
19.48,63.09,1019.28,78.04,449.6
22.53,70.98,1005.48,93.95,440.96
9.64,36.66,1027.1,70.11,479.08
18.21,62.26,1011.97,87.28,455.88
18.22,44.34,1019.35,56.78,469.27
10.45,40.0,1019.01,89.01,465.43
18.15,45.01,1013.06,72.4,455.21
22.99,62.96,1019.6,65.05,449.4
21.12,63.56,1014.16,81.42,445.9
9.59,38.91,1011.87,81.3,479.96
27.07,74.87,1010.09,58.97,440.47
31.54,72.58,1007.61,65.57,427.31
23.86,59.21,1013.02,73.6,441.22
25.07,56.85,1011.25,51.99,442.44
19.31,44.71,1016.13,30.59,463.0
25.28,49.5,1013.95,52.79,454.01
17.48,49.39,1021.51,84.53,460.01
26.84,70.36,1007.41,71.47,442.17
21.12,49.15,1021.29,52.9,456.92
9.96,39.66,1015.23,82.98,480.6
14.22,37.85,1011.24,88.49,471.05
15.43,39.16,1016.44,79.8,470.74
25.65,49.3,1003.73,68.48,440.05
12.93,38.73,1006.41,89.24,471.3
18.26,49.64,1024.92,62.82,462.6
28.42,73.5,1011.23,72.79,435.59
25.91,75.6,1018.23,62.65,443.2
26.81,61.47,1009.68,68.34,443.66
16.17,46.97,1014.22,85.8,456.08
21.92,48.14,1013.44,67.8,449.65
27.6,67.25,1017.78,54.25,438.42
10.08,40.72,1022.7,67.3,480.8
19.08,44.63,1020.14,43.36,459.81
13.81,40.2,1013.66,88.16,464.23
13.93,44.21,1022.26,82.4,469.12
28.09,63.31,1013.01,52.6,438.6
13.83,43.22,1010.62,70.8,464.39
14.54,46.18,1015.29,94.48,463.03
29.3,73.67,1005.64,65.31,431.07
24.8,61.02,1009.86,71.75,438.96
18.01,54.9,1017.04,77.82,455.91
21.3,48.92,1010.92,65.09,447.89
20.86,39.72,1001.73,56.38,456.27
30.98,69.82,1009.17,50.63,438.44
8.83,36.25,1028.86,85.6,478.45
26.17,70.47,1010.25,68.96,434.56
16.55,54.3,1017.95,60.84,460.59
26.88,60.96,1012.1,57.9,446.77
23.69,73.67,1007.19,86.73,437.57
25.44,70.17,1000.65,91.89,433.02
20.07,42.23,1012.86,74.11,461.25
14.79,47.83,1007.27,92.04,463.22
6.89,43.65,1019.87,72.77,484.0
12.26,39.96,1011.79,79.06,470.87
19.36,68.61,1010.85,94.87,454.5
28.98,70.8,1008.19,73.45,434.08
32.07,67.83,1007.91,41.61,429.31
24.48,64.45,1014.69,51.43,452.82
24.09,73.68,1014.93,94.55,441.34
31.54,67.32,1013.79,36.99,433.02
22.5,64.69,1007.03,74.92,440.73
16.44,43.96,1013.66,76.31,468.57
33.68,68.14,1002.75,56.05,427.53
20.01,56.65,1020.77,74.46,457.01
20.37,69.48,1011.04,84.31,445.81
13.79,40.0,1016.02,70.17,461.16
31.54,71.06,1008.4,71.77,431.87
24.14,62.66,1007.33,73.27,439.93
31.33,76.86,997.85,64.43,431.44
14.56,40.69,1015.48,73.73,469.31
17.9,52.08,1006.41,100.09,451.94
19.07,49.69,1007.22,76.79,453.09
19.83,63.94,1019.81,75.05,448.03
8.39,52.72,1026.06,86.76,473.45
28.21,70.02,1010.58,51.34,442.47
14.16,44.06,1018.92,76.34,464.91
16.73,39.64,1008.94,74.91,464.46
11.68,40.55,1017.31,99.82,473.51
18.4,50.16,1011.51,98.07,453.78
23.64,60.95,1014.92,64.91,447.86
14.98,39.58,1011.78,75.07,467.77
31.41,64.44,1013.84,49.49,439.3
31.68,73.68,1014.85,64.0,431.11
24.19,46.93,1013.4,49.39,446.3
22.06,59.21,1012.84,87.06,442.31
5.0,40.64,1021.05,94.84,485.27
21.13,51.43,1007.43,88.72,445.4
7.68,39.96,1023.73,87.48,477.84
29.23,72.99,1007.04,63.47,431.0
25.56,58.82,1010.44,70.23,441.0
16.0,43.34,1013.89,78.39,462.33
13.83,38.73,999.62,91.95,469.81
15.99,43.34,1014.2,78.66,465.96
24.0,58.05,1011.28,74.32,447.16
29.6,67.79,1010.37,51.05,442.43
18.51,58.46,1017.21,88.1,448.39
20.97,61.87,1011.45,65.41,446.76
29.08,66.54,1004.67,64.5,430.16
22.02,69.45,1013.84,75.75,440.26
7.64,41.17,1020.01,75.14,488.53
22.44,63.47,1012.02,91.08,444.65
10.56,40.22,1005.08,89.71,478.02
9.42,41.4,1029.99,88.41,477.01
17.48,46.21,1014.02,80.78,455.35
15.52,36.99,1006.86,89.7,467.9
8.36,38.91,1016.27,88.82,482.09
11.43,40.22,1010.84,81.04,477.5
22.46,58.49,1011.5,70.54,448.46
28.01,73.18,1012.25,75.02,431.02
15.74,43.71,1024.7,78.38,462.66
18.9,56.03,1020.77,71.83,457.66
23.23,71.77,1005.01,88.1,432.8
11.67,37.73,1021.2,68.88,473.54
13.64,43.71,1024.41,84.46,468.85
24.84,59.22,1013.18,83.08,442.7
16.01,49.64,1026.35,77.75,457.8
15.32,45.01,1013.3,83.72,459.31
19.35,43.43,1009.4,66.11,454.02
14.8,44.92,1024.06,91.67,464.01
6.06,41.17,1019.67,84.7,489.62
20.34,46.63,1013.16,79.08,453.62
27.19,62.91,1011.57,53.66,444.8
25.89,63.56,1013.82,64.51,443.82
28.07,68.08,1013.13,44.67,437.65
12.09,38.25,1013.61,81.28,469.29
15.17,36.71,1013.5,77.44,471.93
25.24,66.54,1002.07,81.22,433.86
9.88,40.0,1021.4,92.06,481.58
8.23,41.01,1022.89,98.03,474.52
26.11,47.43,1009.01,56.09,445.36
14.77,44.47,1028.38,71.18,464.25
22.17,60.27,1018.21,89.55,443.31
26.61,72.43,1007.71,75.82,427.61
18.58,44.6,1016.61,48.15,459.06
15.95,42.24,1017.71,69.32,465.35
17.75,49.25,1020.86,63.67,454.41
21.52,46.21,1010.62,67.62,449.08
10.8,41.62,1012.84,93.84,462.84
19.89,69.48,1011.06,86.73,447.63
10.48,37.5,1009.81,95.26,474.57
13.13,50.59,1020.26,87.44,470.03
8.44,41.17,1019.9,70.72,486.15
28.09,65.27,1013.27,51.96,440.0
18.55,52.84,1004.45,86.82,450.23
23.89,64.27,1013.37,75.22,450.82
6.48,36.24,1013.62,92.03,484.65
26.29,68.24,1010.71,76.95,429.71
23.79,48.06,1012.92,60.03,447.59
11.95,42.07,1018.52,84.73,467.91
27.4,69.84,1002.98,76.48,430.54
7.07,37.49,1010.35,87.19,481.58
28.32,77.95,1014.61,77.17,436.97
12.67,42.86,1014.06,89.9,473.13
26.92,64.69,1006.66,76.14,437.62
17.7,49.21,1015.16,67.91,455.97
23.81,73.17,1012.13,86.13,438.11
16.27,58.2,1018.47,80.03,453.66
13.21,40.03,1018.12,82.98,469.75
28.12,73.42,1011.49,80.16,435.46
24.97,54.2,1012.68,74.25,439.71
21.74,60.27,1015.82,88.96,441.22
14.64,39.58,1011.46,71.9,467.8
11.37,40.56,1017.56,64.8,478.88
9.11,40.64,1020.68,86.91,476.62
12.54,40.1,1015.73,84.29,475.02
19.22,62.1,1019.43,79.19,451.8
24.42,63.31,1012.64,71.8,438.39
22.66,61.27,1019.29,55.43,448.68
30.69,71.98,1004.53,65.86,430.33
7.2,40.02,1031.71,69.89,480.53
21.01,58.96,1014.33,61.8,453.88
14.13,41.23,994.6,93.02,467.84
21.52,50.66,1013.56,74.33,455.71
7.19,41.39,1018.12,90.76,486.35
29.46,71.94,1006.96,62.26,428.54
30.31,70.36,1006.55,59.92,439.11
21.04,74.87,1009.09,88.25,443.44
25.6,56.9,1006.35,81.58,437.82
9.94,41.44,1015.21,87.02,481.24
19.09,42.44,1012.93,63.59,461.84
14.98,43.99,1022.66,83.34,462.32
26.16,67.9,1005.81,61.02,444.06
14.9,52.05,1015.11,77.33,464.82
6.61,38.68,1017.5,63.88,483.88
26.82,69.05,1004.62,40.0,437.42
12.25,44.58,1016.47,81.15,475.24
18.21,41.23,993.11,62.29,457.53
21.08,44.05,1008.13,72.52,449.6
22.56,70.98,1005.66,95.95,440.81
30.54,67.45,1014.37,32.97,431.35
27.49,71.94,1006.62,73.35,435.29
25.01,59.54,1007.91,80.93,441.3
5.17,39.33,1009.68,94.19,485.46
21.79,61.45,1011.11,91.78,446.99
28.29,61.86,1011.87,64.17,438.25
13.21,41.2,1016.63,74.1,474.26
23.03,68.08,1012.63,70.37,441.71
20.58,49.15,1021.42,56.15,453.87
26.56,52.3,1007.4,62.04,439.25
13.69,34.03,1018.45,65.76,469.12
8.51,41.26,1023.17,87.79,477.51
12.17,49.83,1008.05,96.44,469.52
11.06,37.92,1008.76,67.32,473.16
14.85,38.91,1014.48,60.98,467.42
15.76,44.89,1010.33,85.06,459.67
27.71,74.34,998.14,71.85,434.2
24.92,48.92,1010.11,36.53,445.56
30.31,74.16,1010.69,58.81,436.23
9.49,40.69,1015.09,91.31,476.67
5.71,40.77,1022.49,87.9,487.48
23.45,45.61,1012.84,73.42,454.92
32.42,65.74,1010.97,52.73,439.01
24.5,58.66,1011.54,57.92,451.03
13.48,41.92,1030.2,65.96,463.9
7.79,42.03,1017.74,91.48,477.26
7.46,39.81,1018.62,86.73,484.13
32.81,71.32,1007.69,47.29,434.38
13.17,36.71,1012.82,72.76,474.93
24.05,72.24,1011.32,88.94,437.81
21.05,58.33,1013.14,66.34,447.66
10.11,44.85,1014.2,84.81,478.71
10.8,41.39,1019.74,74.08,478.75
19.92,38.52,1018.15,60.68,451.16
24.22,61.86,1013.39,80.11,442.65
25.32,48.41,1008.47,72.14,443.04
15.86,39.82,1013.12,77.37,466.89
21.42,43.79,1015.76,43.08,462.19
28.38,72.39,998.93,73.85,432.02
28.04,74.33,1013.53,48.65,432.92
15.16,50.88,1013.88,100.11,460.03
19.92,48.98,1014.32,64.99,455.57
25.89,74.22,1007.43,81.55,433.73
26.98,74.78,1009.77,69.54,442.28
18.32,39.53,1008.15,64.85,454.44
21.95,60.95,1015.22,75.09,450.38
21.18,44.57,1007.27,73.67,449.93
6.28,43.02,1013.72,88.13,487.17
20.55,46.21,1013.21,73.18,448.66
28.68,61.86,1011.78,62.67,440.57
23.28,69.51,1013.31,53.0,444.17
30.39,70.98,1007.55,72.76,435.48
22.79,50.78,1008.65,58.39,447.12
17.27,40.55,1000.89,70.66,461.31
15.62,40.12,1013.03,96.26,462.59
13.34,41.79,1011.48,86.66,461.12
25.64,47.01,1014.81,62.29,454.48
28.85,66.54,1010.73,43.27,437.79
5.98,38.91,1016.5,91.83,488.85
23.86,66.54,1005.23,90.89,432.17
20.73,41.1,1001.86,47.51,456.44
8.9,41.4,1030.83,85.63,472.95
23.36,74.93,1016.57,71.91,443.78
11.69,35.76,1019.02,55.6,471.72
28.41,75.6,1018.48,56.07,440.28
30.16,73.17,1010.74,58.99,434.43
23.28,60.84,1017.91,67.5,444.13
22.7,61.41,1012.08,78.08,449.75
22.56,48.92,1010.7,51.63,445.07
24.27,57.85,1012.81,63.48,445.1
12.19,41.06,1021.35,74.98,474.63
24.74,59.39,1015.23,74.64,437.49
30.99,68.51,1008.0,71.35,430.09
10.1,41.17,1019.18,84.87,479.95
14.16,40.89,1010.78,82.86,471.15
31.2,68.24,1005.71,34.84,428.67
26.12,75.6,1017.41,72.31,439.68
9.55,41.44,1015.07,85.94,481.75
26.96,72.86,1004.86,59.17,441.12
13.67,42.32,1015.41,79.04,464.56
19.06,56.65,1020.82,82.14,455.7
18.21,45.0,1022.86,48.84,467.54
23.23,60.32,1016.73,78.35,447.09
28.39,65.51,1014.52,66.48,438.78
17.96,47.83,1005.0,85.72,454.59
6.65,40.69,1020.11,89.84,479.35
24.92,63.94,1017.7,44.92,441.07
17.77,43.72,1009.01,77.7,456.34
30.39,66.54,1002.7,59.15,428.89
15.62,58.59,1013.91,97.6,457.3
29.22,75.23,1010.49,48.73,438.57
25.3,49.3,1003.67,69.08,436.62
11.58,40.66,1017.0,97.13,466.42
13.4,41.58,1020.5,71.17,461.54
28.52,70.02,1010.34,54.21,441.98
20.11,50.78,1008.73,93.24,447.42
7.22,41.01,1025.19,97.27,476.15
11.48,44.58,1016.43,80.15,478.53
24.19,68.94,1007.37,70.83,439.52
30.12,69.68,1012.89,60.64,436.34
12.63,48.04,1013.0,100.13,464.6
29.42,74.9,1004.11,64.53,434.66
19.79,64.45,1016.14,73.54,451.37
19.3,65.59,1014.07,81.98,452.76
12.29,40.03,1017.62,89.64,472.65
26.36,73.68,1013.99,86.44,430.39
11.83,44.6,1018.49,89.06,469.96
23.95,59.92,1010.15,86.37,435.92
19.29,67.71,1007.94,63.71,449.28
27.73,67.69,1007.47,59.42,431.72
32.96,68.31,1010.39,42.33,443.57
25.58,61.08,1013.37,71.27,446.32
27.34,71.64,1008.12,72.22,438.76
24.27,63.87,1018.88,53.96,420.26
6.23,40.96,1022.49,93.15,488.82
20.48,39.72,1001.61,57.32,455.58
28.67,69.14,1008.24,72.68,433.79
13.61,39.85,1012.78,58.12,475.62
22.78,59.92,1011.28,88.78,440.87
25.91,75.6,1018.23,62.65,443.2
18.11,52.08,1002.51,100.09,449.99
30.7,74.22,1008.12,50.39,432.51
17.15,43.69,1017.05,63.36,463.88
5.11,42.07,1004.28,81.8,486.41
5.43,39.9,1007.5,86.27,487.84
30.09,64.96,1001.29,56.04,430.3
14.72,39.0,1016.42,76.42,464.93
18.9,57.5,1016.21,93.9,451.42
4.15,39.9,1007.62,95.69,489.8
29.35,68.51,1007.63,70.67,430.22
27.61,59.54,1005.84,71.27,437.85
22.52,66.48,1003.87,78.29,435.02
8.47,41.03,1021.72,70.16,485.1
6.69,43.65,1020.14,69.55,482.57
14.72,41.23,997.91,82.69,467.11
21.75,60.27,1018.55,87.81,444.19
30.01,68.27,1006.88,51.67,428.6
12.11,41.17,1019.46,62.59,475.53
18.6,41.67,1013.07,64.23,458.91
24.6,48.78,1018.1,73.71,442.23
15.2,39.0,1016.1,72.76,463.88
5.75,42.07,1004.24,78.23,485.23
16.61,43.77,1012.25,77.23,457.66
21.39,51.3,1013.39,89.05,452.7
26.82,65.27,1013.6,53.85,437.84
11.58,39.69,1005.17,86.55,469.6
13.24,40.83,1007.9,87.53,472.22
24.84,56.89,1012.15,67.24,440.36
31.24,74.22,1007.74,48.77,430.44
16.69,44.78,1010.41,58.18,456.17
10.73,44.92,1025.1,85.4,476.81
31.43,69.89,1014.8,56.22,426.15
26.35,59.87,1013.24,73.63,447.26
17.32,44.34,1019.52,56.24,468.8
9.7,37.14,1012.79,75.2,475.77
19.35,64.15,1021.37,68.53,457.74
26.62,71.73,1009.32,80.1,431.93
30.78,69.14,1007.27,62.77,433.96
16.1,36.71,1013.58,74.41,471.46
25.72,66.86,1007.47,69.14,439.97
25.49,47.45,1007.89,57.04,444.52
13.32,38.73,1005.37,88.48,472.33
29.72,68.08,1010.72,53.46,430.36
6.62,42.49,1008.74,94.57,482.74
27.58,57.19,1007.88,52.95,435.7
26.26,73.06,1009.35,91.65,435.41
28.53,76.86,999.08,75.77,431.64
10.94,39.69,1004.5,86.29,459.69
27.11,48.6,1002.78,53.39,439.4
25.24,71.14,1008.73,79.39,435.09
17.39,42.44,1013.72,73.79,461.55
23.83,49.21,1012.93,46.79,446.23
29.01,66.56,1006.44,57.62,428.32
22.19,48.78,1017.84,76.01,446.51
17.29,42.86,1014.38,72.3,464.27
20.54,69.05,1001.6,79.62,442.86
8.61,43.8,1021.9,74.35,478.25
15.72,56.89,1013.35,85.06,456.33
14.44,40.8,1025.05,56.59,472.95
22.99,68.67,1006.65,77.62,446.67
29.64,67.79,1009.99,51.23,440.74
12.85,40.0,1015.89,68.85,463.74
30.12,69.71,1009.1,52.02,435.85
30.19,66.54,1004.39,61.43,428.37
14.69,54.3,1018.01,73.4,462.63
15.07,43.48,1015.22,57.74,459.96
25.71,58.59,1012.77,61.83,451.28
19.97,50.78,1008.75,92.7,446.57
30.93,73.42,1010.98,56.42,432.44
24.49,68.61,1010.56,64.03,447.57
20.87,57.19,1006.5,77.0,445.95
28.73,68.3,1016.53,55.73,434.15
12.65,44.34,1014.74,92.81,473.46
25.45,57.32,1011.7,47.09,441.3
25.02,69.75,1010.04,91.86,437.87
5.06,40.64,1021.49,93.7,483.73
12.75,44.03,1007.29,89.46,465.86
7.44,41.04,1021.84,88.56,479.08
19.18,50.12,1005.99,100.09,444.56
22.24,41.1,1001.96,42.6,451.95
12.76,42.32,1015.35,78.18,466.15
17.12,68.28,1003.56,94.29,449.94
17.36,41.23,998.08,63.46,459.1
30.26,59.22,1013.18,61.08,442.98
22.68,59.54,1004.32,95.44,437.96
26.0,70.47,1009.61,74.66,435.05
14.6,44.84,1023.58,88.21,464.88
24.8,68.3,1018.01,80.41,436.17
12.9,43.41,1015.92,59.15,464.26
21.47,70.32,1011.72,88.36,440.0
18.99,59.27,1012.15,89.39,453.4
24.65,72.43,1007.99,90.05,437.59
24.75,69.89,1015.29,82.01,438.1
